,name,man
0,Российская Федеpация,146089557
1,Центральный федеральный округ,40231188
2,Белгородская область,1490879
3,Брянская область,1137439
4,Владимирская область,1302936
5,Воронежская область,2266513
6,Ивановская область,901884
7,Калужская область,1066579
8,Костромская область,563512
9,Курская область,1055513
10,Липецкая область,1112039
11,Московская область,8708927
12,Орловская область,689089
13,Рязанская область,1078106
14,Смоленская область,860917
15,Тамбовская область,951151
16,Тверская область,1194716
17,Тульская область,1463526
18,Ярославская область,1183430
19,г. Москва,13204032
20,Северо-Западный федеральный округ,13852845
21,Республика Карелия,521250
22,Республика Коми,717500
23,Архангельская область,993547
24,Ненецкий АО,42027
25,Архангельская область без Ненецкого автономного округа,951520
26,Вологодская область,1117991
27,Калининградская область,1033521
28,Ленинградская область,2046735
29,Мурманская область,653679
30,Новгородская область,569096
31,Псковская область,577673
32,г. Санкт-Петербург,5621853
33,Южный федеральный округ,16604990
34,Республика Адыгея,500815
35,Республика Калмыкия,267073
36,Республика Крым,1905306
37,Краснодарский край,5837424
38,Астраханская область,946210
39,Волгоградская область,2444626
40,Ростовская область,4143768
41,г. Севастополь,559768
42,Северо-Кавказский федеральный округ,10279342
43,Республика Дагестан,3245608
44,Республика Ингушетия,530720
45,Кабардино-Балкарская Республика,906777
46,Карачаево-Черкесская Республика,468427
47,Республика Северная Осетия - Алания,678667
48,Чеченская Республика,1564342
49,Ставропольский край,2884801
50,Приволжский федеральный округ,28469263
51,Республика Башкортостан,4055227
52,Республика Марий Эл,667919
53,Республика Мордовия,762141
54,Республика Татарстан,4009793
55,Удмуртская Республика,1430788
56,Чувашская Республика,1163409
57,Пермский край,2488673
58,Кировская область,1125057
59,Нижегородская область,3049075
60,Оренбургская область,1822155
61,Пензенская область,1231048
62,Самарская область,3118393
63,Саратовская область,2376775
64,Ульяновская область,1168810
65,Уральский федеральный округ,12267089
66,Курганская область,748600
67,Свердловская область,4220449
68,Тюменская область,3908547
69,Ханты-Мансийский АО,1769448
70,Ямало-Ненецкий АО,518808
71,Тюменская область без автономных округов,1620291
72,Челябинская область,3389493
73,Сибирский федеральный округ,16524915
74,Республика Алтай,210432
75,Республика Тыва,337943
76,Республика Хакасия,526813
77,Алтайский край,2107143
78,Красноярский край,2841747
79,Иркутская область,2323554
80,Кемеровская область,2537034
81,Новосибирская область,2787060
82,Омская область,1811768
83,Томская область,1041421
84,Дальневосточный федеральный округ,7859925
85,Республика Бурятия,971300
86,Республика Саха (Якутия),1004361
87,Забайкальский край,983460
88,Камчатский край,288448
89,Приморский край,1802220
90,Хабаровский край,1275612
91,Амурская область,750477
92,Магаданская область,133795
93,Сахалинская область,457191
94,Еврейская автономная область,145095
95,Чукотский автономный округ,47966
